Columna1;Campos del Dataset;Tipo de Dato;Descripción
1;created_at;String;Hora UTC cuando se creó este Tweet.
2;favorite_count;Integer;Nullable. Indica aproximadamente cuántas veces les ha gustado este Tweet a los usuarios de Twitter.
3;full_text;String;El texto en UTF-8 real del estado de la actualización. Consulte twitter-text para obtener detalles sobre qué caracteres se consideran válidos actualmente.
4;id_str;String;Representación de cadena del identificador único de este Tweet. 
5;metadata.iso_language_code;String;Código que identifica cual es el el lenguaje en el que ha sido escrito un Tweet
7;retweeted_status.created_at;String;Este atributo contiene la fecha de creación de dicho retweet.
8;retweeted_status.full_text;String;Este atributo contiene el text completo del que se retuiteo.
9;user.created_at;String;La fecha de creación de la cuenta de usuario quien posteo este Tweet
10;user.favourites_count;Integer;La cantidad de Tweets que le han gustado a este usuario durante la vida de la cuenta. 
11;user.followers_count;Integer;"El número de seguidores que tiene esta cuenta actualmente. Bajo ciertas condiciones de coacción, este campo indicará temporalmente ""0"""
12;user.friends_count;Integer;"El número de usuarios que esta cuenta esta siguiendo (también conocido como sus ""seguidores""). Bajo ciertas condiciones de coacción, este campo indicará temporalmente ""0""."
13;user.id_str;String;Representación en cadena del identificador único de este usuario.
14;user.lang;String;Muestra el lenguaje que el usuario ha registrado en la plataform. Este campo podria ser nulo
15;user.location;String;La ubicación definida por el usuario para el perfil de esta cuenta. En ocasiones, el servicio de búsqueda interpretará este campo de forma imprecisa.
16;user.verified;Boolean;Cuando es verdadero, indica que el usuario tiene una cuenta verificada.
